Title,Price,Location,Link
Group House in Mt Pleasant seeking 5th roomate!,Mount Pleasant,Mount Pleasant,https://washingtondc.craigslist.org/doc/apa/d/washington-group-house-in-mt-pleasant/7736097603.html
"Just stunning! Spacious 1 Bed, 1 bath with lots of light",Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-just-stunning-spacious-bed/7737445742.html
"Wonderful amenities, great style, brand new construction!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-wonderful-amenities-great/7736160558.html
This is the place you've been looking for! 1 BD / 1 BA!,Takoma Park,Takoma Park,https://washingtondc.craigslist.org/mld/apa/d/takoma-park-this-is-the-place-youve/7736616338.html
"Your dream 1 bed, 1 bath is closer than you think! Call now!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-your-dream-bed-bath-is/7738034902.html
TWO-WEEK STUNNING PETWORTH SUBLET WITH PRIVATE GARDEN,"Petworth, Washington D.C.","Petworth, Washington D.C.",https://washingtondc.craigslist.org/doc/apa/d/washington-two-week-stunning-petworth/7738018644.html
"1/bd, Mini/Vertical Blind Window Coverings, Linen Closet",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-bd-mini-vertical-blind/7733983487.html
"Courtyard, 1BD 1BA, In Hyattsville","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-courtyard-1bd-1ba-in/7734034129.html
"Wall-to-Wall Carpet Option, Separate Dining Area, 1BD 1BA","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-wall-to-wall-carpet-option/7732122184.html
2-Level Top Floor Penthouse with Private Outdoor Space,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-level-top-floor-penthouse/7737982713.html
"1/BD, High Speed Internet Access, Hardwood Floor Option","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-high-speed-internet/7732952295.html
"1/BD, Separate Dining Area, Courtyard","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-separate-dining-area/7729494555.html
"On-Site Laundry Facilities, in Hyattsville MD, 1 Bed","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-on-site-laundry-facilities/7734219066.html
